تصميم	determination - design
سير	course, motion
إيجاد	discovery, finding
نافذة	window
عقب	heel
غرض	goal, purpose
حرص	desire, keenness, eagerness حرصا على - out of concern for
توفر	be plentiful, available عدم توفر - lack of
تمتع	enjoy, possess
فحسب	only, just (أريد فحسب ان اذهب هناك)
قيد	undergoing, in the process
فتنة	charm, allure (and discord)
حب	seed, grain, pill, bead
ورد	roses, flowers
ظلام	darkness, injustice
هوى	love, affection, preference على هواه - as he likes, according to his preference
إحساس	feeling
صفقة	deal, transaction
إبداع	creativity
أداة	tool
إنطلاق	start, departure
معيار	standard, criterion, norm
تناول	deal with
نقص	lack, loss, deficit
ضرر	damage, harm
زيت	oil
رائد	pioneer, explorer, leader, major
عجيب	amazing, strange
لاحق	later, next لاحقا - soon
روعة	magnificence, splendour
حقل	field
خلق	character, temperament
اخلاق	morals, ethics
منتج	product (pl. منتجات)
نال	attain, achieve
حاجز	obstacle
مورد	resource, supplies
جزى	reward, repay
ودع	let/allow (someone to do something), leave (أبتعد عن الطريق ودع الشرطة تقوم بواجبها)
توجه	attitude, approach
إجمالي	total, comprehensive
نطاق	scope, extent (تدرك مالي تماما نطاق وتعقيد التحديات الراهنة.)
معاناة	effort, hardship, suffering (e.g. of refugees)
قدر	fate, destiny
خاطر	idea, thought, mind, feeling, inclination
الخيل العلمي	science fiction
غذاء	food
فحص	examination, check-up
سعي	endeavour, pursuit
آلة	instrument, machine
ذنب	fault, offense, misdeed
كلي	complete, total, full, holistic (وينبغي تشجيعها كجزء من نهج كلي.)
مضيف -ة	host, steward
فاق	surpass, excel, wake up
قاس	harsh, cruel, severe
عناية	care, concern, attention
الطائر الطنان	hummingbird
سباق	race, competition
عجوز	old person, elderly
ود	want, like (لا, انا ود فقط الحديث)
صرح	to shout, scream
صرخة	a scream, shriek
سكك حديدية	railways
منجم الفحم	coal mine
على الأرجح	most likely
لحام	welding
ربح	gain, profit
حصة	share, quota, portion
مهني	professional, vocational
نادرا	rarely
عاجلا او آجلا	sooner or later
بحجة ان	under the pretext that
لا بأس به	not a bad... at all / quite a bit / alright هذه الأيام أظن أنه لا بأس به وانا قُمت بجهداً لا بأس به
إطلاقا من	on the basis of, proceeding from
تحل الذكرى	mark the anniversary
حل محله	replace, solve وهكذا فإن الاستعمار الأوروبي حل محله استعمار أفريقي
لا قيد أنملة	not an inch, not one iota لذا لا تتحرك قيد أنملة وإلتزم مكانك
أنملة	fingertip
عن ظهر القلب	by heart أعرف اسماء الجميع, عن ظهر قلب
بصرف النظر عن	regardless of وتتوفر خدماته للجميع بصرف النظر عن العرق
موقتا	temporarily
مسار	path, route
لوحة مفاتيح	keyboard
تنزيل	downloading
البرمجة	programming
مَنَحَ	granting, awarding
وارِد	arriving, coming, imported
الواردات	imports
رقابة	censorship, surveillance, oversight
رصيد	credit, balance, funds
تولى	take charge of
رحيل	departure, death, demise
اعرب	express, indicate
مخاطر	dangers, perils, adventures
تخلص	escape, freedom from, get rid of
حذّر	warn
إبتسامة	smile
إختبار	testing, experimenting, probing
لحق	follow, be attached to
اعجب	delight, please
توصّل	arrival, attainment, achievement
دَخْل	income, revenue
تداول	circulation, dissemination, consultation, deliberation
وفاء	loyalty, faithfulness
عسل	honey
في صدد	with regard to
في هذا الصدد	in this regard/respect
كَمَنَ	be hidden in, lie in
كَمَنَ لِ	consist of
ليت	if only, would that
عائد	interest, profit, revenue
ناتج	product, resulting from
الناتج المحلي الإجمالي	gross domestic product / GDP
شَفة	lip, rim, margin
مشاهدة	observation, inspection
أبْدى	show, demonstrate
كَفاءة	qualification, competence, talent, ability
كَفاءات	talent, talented people
نَهَضَ	rise, awaken, stand, assume
رَمْل	sand
الائتلاف	agreement, harmony in opinion
شكوى	complaint
مُفَوَّضِيَّة	commissariat, legation
خَرْق, خروق	violation, breach, infringement
وَعِيد	menace, threat
عَزْف	concert
عَزُوف عن	averse, disinclined, loath, reluctant
شريحة, شرائح	section, slice, fillet
فرز	assort, arrange, categorize, sort
من غير المعقول	it is illogical, implausible
أرْخَبيل	archipelago
حيوي	vital, lively, biological
مضاد حيوي	antibiotic
إدَّعَى	allege, claim
نزاع	conflict, struggle
حدوث	occurrence, happening
مكانة	position, standing
عجب	admiration, amazement
عُرْس	wedding
فضائي	space-, satellite-(related)
عَدا	except for
فيما عدا ذلك	apart from that
عدا عن	with the exception of
صَنْع	making, building
هزّ	shake, jolt
هزّ رأسه	to nod
شتّى	all, many, diverse
بمَثابةِ	virtually, tantamount to, kind of
خلا	be free, devoid of
تسوية	settlement, solution
إرتكب	commit, perpetrate
غابة	forest, jungle, haze, confusion
نقابة	union, syndicate
ساد	prevail, be dominant
جِلد	skin, leather
وفّر	provide st to sb, fulfill (conditions)
بالنيابة	by proxy, acting, representing
نيابةً عن	on behalf of
النيابة العامة	"prosecutor's office"
عَرْقَلَ	stop, delay, block, prevent (مذبحة في غزة.. وأميركا تعرقل تحقيقاً أممياً)
